Timestamp,Name,Intake To,Breed,Color,Sex,Age,Dob (If Available),Weight,Intake From,Dog Friendly,Kid Friendly,Cat Friendly,Other Notes,Petfinder Link,Email Address,Status,Color Category,Primary Breed,Breed Group,Intake To Category,Days In Rescue,Intake Month,Age Group,Weight Group,Intake Source Type,Data Completeness %,LOS Bucket,Dog ID
2026-05-14 11:50:13,Jelly,Foster,Beagle Mix,Brown And White,Male,2.0,,36.0,Bell County,Yes,Yes,Unsure,,,,Available,Brown,Beagle,Hound,Foster,26.0,2026-05,Young Adult,Medium,County Shelter,83.33333333333334,0–30 Days,DOG-0020
2026-05-14 11:51:07,Cricket,Barn,Mixed Breed,Black And White,Male,3.0,,52.0,Stray,No,Unknown,Unsure,,,,Available,Black,Other,Other,Barn,26.0,2026-05,Adult,Large,Stray,83.33333333333334,0–30 Days,DOG-0021
2026-05-14 11:53:42,Ruger,Boarding/Vet,Pit Bull Terrier,Tan And White,Male,3.0,,66.0,Bell County,Yes,Unknown,Unsure,,,,Available,Tan,Pit Bull,Terrier,Boarding/Vet,26.0,2026-05,Adult,Large,County Shelter,83.33333333333334,0–30 Days,DOG-0022
2026-05-14 11:56:33,Arlo,Barn,Pit Mix,White,Male,3.0,,66.0,Knox County,Yes,Yes,Unsure,,,,Available,White,Pit Bull,Terrier,Barn,26.0,2026-05,Adult,Large,County Shelter,83.33333333333334,0–30 Days,DOG-0023
2024-12-12 10:45:59,Scrappy,Barn,Hound Mix,Brown,Male,2.0,,47.0,Bell County,Yes,Yes,Unsure,,https://www.petfinder.com/dog/scrappy-saving-2-lives-by-rescuing-one-73352995/ky/lancaster/kentucky-saving-them-together-inc-ky535/,,Available,Brown,Hound,Hound,Barn,544.0,2024-12,Young Adult,Medium,County Shelter,100.0,180+ Days,DOG-0024
2025-07-30 09:34:25,Jax,Barn,Pit Mix,Brindle,Male,4.0,,42.0,Garrard County,Yes,Unknown,Unsure,,,,Available,Brindle,Pit Bull,Terrier,Barn,314.0,2025-07,Adult,Medium,County Shelter,83.33333333333334,180+ Days,DOG-0025
2024-12-12 10:17:07,Abby,Adopted,Pit Mix,Brindle And Gray,Female,3.0,,32.0,Knox-Whitley Humane,Yes,Yes,No,,,,Adopted,Brindle,Pit Bull,Terrier,Adopted,,2024-12,Adult,Medium,Other,83.33333333333334,Historical,DOG-0026
2024-12-12 10:19:51,Buffalo Trace,Adopted,Anatolian Shephard/Hound,Tan And White,Male,4.0,,74.0,Bell County,Yes,Yes,Unsure,,,,Adopted,Tan,Anatolian,Working,Adopted,,2024-12,Adult,Large,County Shelter,83.33333333333334,Historical,DOG-0027
2024-12-12 10:22:07,Camo,Adopted,Australian Cattle Dog Mix,Blue And Brown,Male,3.0,,45.0,Knox- Whitley,Yes,Yes,Unsure,,,,Adopted,Brown,Other,Other,Adopted,,2024-12,Adult,Medium,Other,83.33333333333334,Historical,DOG-0028
2024-12-12 10:26:07,Leslie,Adopted,Mountain Curr Mix,Brindle,Female,3.0,,45.0,Knox-Whitley,Yes,Yes,No,,,,Adopted,Brindle,Other,Other,Adopted,,2024-12,Adult,Medium,Other,83.33333333333334,Historical,DOG-0029
2024-12-12 10:28:02,Maxwell,Adopted,Jack Russell Mix,Tan And White,Male,4.0,,45.0,Knox-Whitley,Yes,Yes,Unsure,,,,Adopted,Tan,Other,Other,Adopted,,2024-12,Adult,Medium,Other,83.33333333333334,Historical,DOG-0030
2024-12-12 10:31:29,Mildred,Adopted,Staffy Mix,Blue And White,Female,4.0,,49.0,Knox-Whitley,No,Yes,No,,,,Adopted,White,Other,Other,Adopted,,2024-12,Adult,Medium,Other,83.33333333333334,Historical,DOG-0031
2024-12-12 10:36:12,Ruger,Adopted,Boxer Mix,Brindle,Male,2.0,,56.0,Drop Off,Yes,Yes,Unsure,,,,Adopted,Brindle,Boxer,Working,Adopted,,2024-12,Young Adult,Large,Other,83.33333333333334,Historical,DOG-0032
2024-12-12 10:38:04,Sunny,Adopted,Lab Mix,Yellow,Female,2.0,0510/2022,50.0,Knox-Whitley,Yes,Yes,Unsure,,,,Adopted,Yellow,Other,Other,Adopted,,2024-12,Young Adult,Large,Other,83.33333333333334,Historical,DOG-0033
2024-12-12 10:40:21,Socks,Adopted,Lab Mix,Black,Male,2.0,,76.0,Knox-Whitley,Yes,Yes,Unsure,,,,Adopted,Black,Other,Other,Adopted,,2024-12,Young Adult,XL,Other,83.33333333333334,Historical,DOG-0034
2024-12-12 10:41:30,Socks,Adopted,Mountain Curr,Brindle And White,Male,2.0,,76.0,Drop-Off,Yes,Yes,Unsure,,,,Adopted,Brindle,Other,Other,Adopted,,2024-12,Young Adult,XL,Other,83.33333333333334,Historical,DOG-0035
2024-12-12 10:44:38,Hamlet,Adopted,German Shepherd,Black,Male,5.0,,70.0,Knox-Whitley,Yes,Yes,Yes,,,,Adopted,Black,Shepherd,Herding,Adopted,,2024-12,Adult,Large,Other,83.33333333333334,Historical,DOG-0036
2024-12-12 10:50:08,Melon,Adopted,Boxer Mix,Brindle And White,Female,3.0,,46.0,Garrard County,Yes,Yes,Yes,,,,Adopted,Brindle,Boxer,Working,Adopted,,2024-12,Adult,Medium,County Shelter,83.33333333333334,Historical,DOG-0037
2024-12-12 10:53:22,Petra,Adopted,Lab Mix,White,Female,1.0,,46.0,Animal Care Stanford,Yes,Yes,Unsure,,,,Adopted,White,Other,Other,Adopted,,2024-12,Young Adult,Medium,Other,83.33333333333334,Historical,DOG-0038
2024-12-12 10:54:36,Bones,Adopted,Airedale Terrier,Black And Tan,Male,2.0,,65.0,Lincoln County,Yes,Yes,Unsure,,,,Adopted,Black,Other,Other,Adopted,,2024-12,Young Adult,Large,County Shelter,83.33333333333334,Historical,DOG-0039
2024-12-12 10:56:14,Blitz,Adopted,Lab Mix,Black,Male,3.0,,50.0,Bell County,Yes,Yes,Unsure,,,,Adopted,Black,Other,Other,Adopted,,2024-12,Adult,Large,County Shelter,83.33333333333334,Historical,DOG-0040
2024-12-12 11:19:57,Borax,Adopted,Shepherd Mix,Black,Male,3.0,,56.0,Knox-Whitley,Yes,Yes,Unsure,,,,Adopted,Black,Shepherd,Herding,Adopted,,2024-12,Adult,Large,Other,83.33333333333334,Historical,DOG-0041
2024-12-12 11:02:32,Lucy,Adopted,Lab Mix,Black,Female,2.0,,50.0,Bell County,Yes,Yes,Unsure,,,,Adopted,Black,Other,Other,Adopted,,2024-12,Young Adult,Large,County Shelter,83.33333333333334,Historical,DOG-0042
2024-12-12 11:25:23,Murphy,Adopted,German Shepherd Mix,Black And White,Male,2.0,,50.0,Bell County,Yes,Yes,Unsure,,,,Adopted,Black,Shepherd,Herding,Adopted,,2024-12,Young Adult,Large,County Shelter,83.33333333333334,Historical,DOG-0043
